id,PipelineChainage,ROUMarker,ODMeter,Latitude,Longitude,ControllerName,ChannelID,TerrainClassification,LandmarkDescription,AddionalDecription,VulnerablePoint,regioninfoId
1,1000,KM Post,2460,29.93253714,74.9655164,12,1,Farm land,Agricultural Land,,f,1
2,1100,Warning Board,2580.3,29.93262166,74.96649893,12,1,Farm land,Agricultural Land,,f,1
3,1200,TLP Board,2700.6,29.93291645,74.96750143,12,1,Farm land,Agricultural Land,,f,1
4,1300,Turning Point,2820.9,29.93327751,74.9683516,12,1,Farm land,Agricultural Land,,f,1
5,1400,Turning Point,2941.2,29.9332341,74.96920342,12,1,Farm land,Agricultural Land,,f,1
6,1500,Warning Board,3061.5,29.93326943,74.96923286,12,1,Farm land,Agricultural Land,,f,1
7,1600,TLP Board,3181.8,29.93265055,74.97169455,12,1,Farm land,Agricultural Land,,f,1
8,1700,Turning Point,3302.1,29.93276221,74.97224188,12,1,Farm land,Agricultural Land,,f,1
9,1800,Warning Board,3422.4,29.93268,74.97214,12,1,Farm land,Agricultural Land,,f,1
10,1900,Warning Board,3542.7,29.93442,74.97411,12,1,Farm land,Agricultural Land,,f,1
11,2000,KM Post,3663,29.93434,74.97426,12,1,Farm land,Agricultural Land,,f,1
12,2400,Turning Point,4069.4,29.93575,74.97627,12,1,Farm land,Agricultural Land,,f,1
13,2500,Turning Point,4171,29.9377455,74.97881429,12,1,Farm land,Agricultural Land,,f,1
14,2900,Turning Point,4577.4,29.94100008,74.97960161,12,1,Farm land,Agricultural Land,,f,1
15,3000,KM Post,4679,29.94147932,74.98001911,12,1,Farm land,Minor Road Crossing,,t,1
16,3100,Turning Point,4810.5,29.9418885,74.98126437,12,1,Farm land,Agricultural Land,,f,1
17,3300,Turning Point,5073.5,29.94206471,74.98397076,12,1,Farm land,Agricultural Land,,f,1
18,3400,Turning Point,5205,29.94194079,74.98529395,12,1,Farm land,Agricultural Land,,f,1
19,3600,Turning Point,5468,29.94161286,74.98800969,12,1,Farm land,Agricultural Land,,f,1
20,4000,KM Post,5994,29.94111284,74.99287023,12,1,Farm land,Agricultural Land,,f,1
21,4400,Turning Point,6472.8,29.939897,74.99817394,12,1,Farm land,Agricultural Land,,f,1
22,4700,Turning Point,6831.9,29.93889042,75.00089718,12,1,Farm land,Agricultural Land,,f,1
23,4999.99999999999,KM Post,7191,29.93716,75.00436,12,1,Farm land,Agricultural Land,,f,1
24,5399.99999999999,Warning Board,7475,29.93598818,75.00676563,12,1,Farm land,Agricultural Land,Warning Board,f,1
25,5999.99999999999,KM Post,7901,29.93431735,75.01019795,12,1,Farm land,Agricultural Land,,f,1
26,6399.99999999999,Warning Board,8227,29.9326443,75.01428232,12,1,Farm land,Agricultural Land,Warning Board,f,1
27,6999.99999999999,KM Post,8716,29.9311285,75.01770383,12,1,Farm land,Cart Track (Kachha Road),,t,1
28,7199.99999999999,Turning Point,8965.8,29.93017603,75.01983164,12,1,Farm land,Agricultural Land,,f,1
29,7499.99999999999,Warning Board,9340.5,29.92847503,75.02300028,12,1,Farm land,Agricultural Land,Warning Board,f,1
30,7799.99999999999,Warning Board,9715.2,29.92592996,75.02630706,12,1,Farm land,Agricultural Land,Warning Board,f,1
31,7999.99999999999,KM Post,9965,29.92482528,75.02759764,12,1,Farm land,Canal Crossing,,t,1
32,8099.99999999999,Warning Board,10077.5,29.92435866,75.02784415,12,1,Farm land,Agricultural Land,,f,1
33,8299.99999999999,Turning Point,10302.5,29.92341522,75.02912298,12,1,Farm land,Minor Road Crossing,,t,1
34,9299.99999999999,Turning Point,11489,29.91800542,75.03981581,12,1,Farm land,Agricultural Land,,f,1
