"id","name","binsize","startpos","amplitudenumber","pidsinfoId","channelId","isconfigchanged","profile","comments","isSynced","createdAt","updatedAt","regioninfoId"
1,"Sv2 To Sv3",6.80635,27.906,5217,1,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
2,"Sv2 To Sv01",6.80635,19.7384,3493,1,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
3,"Sv04 To Kmp151",6.80635,19.7384,4939,2,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
4,"Sv04 To Sv03",6.80635,29.9479,3739,2,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
5,"Mathura To Sv05",0.681,49.686,35029,3,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
6,"Mathura To Kmp151",1.36127,0,10614,3,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
7,"Sv06 To Sv07",4.084,14.974,9670,4,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
8,"Sv06 To Sv05",4.084,14.974,7709,4,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
9,"Ips To Sv08",1.361,179.688,20113,5,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
10,"Ips To Sv07",2.042,334.872,14209,5,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
