id,name,ipaddress,createdAt,updatedAt,latitude,longitude,channelId,productionstatus
5,Ips,192.168.21.62,2020-06-17 17:55:35.238989+05:30,2022-03-17 13:17:56.666+05:30,27.024528,78.797592,"{1,2}",E
4,Sv6rkpl,192.168.21.63,2020-06-17 17:53:01.704426+05:30,2022-03-15 12:13:51.199+05:30,27.302299,78.211864,"{1,2}",E
6,Sv09,192.168.21.60,2020-06-17 17:58:10.503353+05:30,2022-03-16 15:12:27.771+05:30,26.794944,79.320033,"{1,2}",E
3,Mathura,192.168.21.64,2020-06-17 17:50:28.517814+05:30,2022-03-17 14:13:04.719+05:30,27.384814,77.695295,"{1,2}",E
1,Sv2rkpl,192.168.21.66,2020-06-17 17:43:52.563862+05:30,2022-03-17 13:47:28.553+05:30,27.685992,76.859412,"{1,2}",C
15,Sv30,10.121.36.123,2020-07-03 17:04:14.195331+05:30,2022-03-15 12:13:04.708+05:30,27.488063,76.098755,{2},E
2,Sv4rkpl,192.168.21.65,2020-06-17 17:47:18.847366+05:30,2022-03-15 12:13:15.199+05:30,27.366965,77.317848,"{1,2}",E
13,Sv11,192.168.21.61,2020-06-23 20:02:28.255474+05:30,2022-03-17 12:45:59.521+05:30,26.535016,79.898331,"{1,2}",E
8,Rewarimdpl,192.168.21.58,2020-06-17 18:02:03.759421+05:30,2022-03-17 10:34:35.027+05:30,28.139008,76.59739,{1},E
9,Bahadurgarh,10.121.33.62,2020-06-17 18:04:42.279322+05:30,2022-03-17 14:31:18.827+05:30,28.73261,76.85494,"{1,2}",E
11,Sv2rbpl,10.121.33.66,2020-06-17 18:10:27.387322+05:30,2022-01-15 16:20:18.111+05:30,29.686446,75.407411,"{1,2}",C
10,Sv4rbpl,10.121.33.64,2020-06-17 18:07:41.035326+05:30,2022-03-17 10:17:29.804+05:30,29.352656,75.96144,"{1,2}",C
12,Ramanmandi,10.121.33.68,2020-06-17 18:13:42.083317+05:30,2022-01-17 16:30:31.486+05:30,29.916809,74.962926,"{1,2}",C
7,Rewarirkpl,192.168.21.67,2020-06-17 18:00:21.951321+05:30,2022-03-16 21:21:27.521+05:30,28.139008,76.59739,{1},E
16,Sv06rbpl,10.121.33.60,2020-07-06 23:00:39.507343+05:30,2022-03-17 15:02:54.208+05:30,28.972318,76.619337,"{1,2}",E
14,Sv32,10.121.36.124,2020-07-03 16:52:55.015359+05:30,2022-03-17 12:31:28.05+05:30,27.926128,76.369045,"{1,2}",C
